"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1844","testing1","","2026-08-07","passed","2026-08-07","","TesteSuite 2","",""
"","767","testing3","","2026-08-07","passed","2026-08-07","","TesteSuite","TesteSuite","testing3"
"","1437","testing1","","2026-08-07","passed","2026-08-07","","TesteSuite","TesteSuite","testing1"
"","787","testing2","","2026-08-07","passed","2026-08-07","","TesteSuite","TesteSuite","testing2"
"","1868","testing1","","2026-08-07","passed","2026-08-07","","TesteSuite 2","TesteSuite 2","testing1"
"","734","testing3","","2026-08-07","passed","2026-08-07","","TesteSuite 2","",""
"","764","testing2","","2026-08-07","passed","2026-08-07","","TesteSuite","",""
"","768","testing3","","2026-08-07","passed","2026-08-07","","TesteSuite 2","TesteSuite 2","testing3"
