"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1642","testing1","","2026-07-02","passed","2026-07-02","","TesteSuite","TesteSuite","testing1"
"","841","testing3","","2026-07-02","passed","2026-07-02","","TesteSuite 2","TesteSuite 2","testing3"
"","2133","testing1","","2026-07-02","passed","2026-07-02","","TesteSuite 2","",""
"","805","testing3","","2026-07-02","passed","2026-07-02","","TesteSuite 2","",""
"","794","testing2","","2026-07-02","passed","2026-07-02","","TesteSuite","",""
"","775","testing3","","2026-07-02","passed","2026-07-02","","TesteSuite","TesteSuite","testing3"
"","804","testing2","","2026-07-02","passed","2026-07-02","","TesteSuite","TesteSuite","testing2"
"","2190","testing1","","2026-07-02","passed","2026-07-02","","TesteSuite 2","TesteSuite 2","testing1"
