"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","697","testing18","","Fri Sep 26 11:55:56 BRT 2025","passed","Fri Sep 26 11:55:57 BRT 2025","","TesteSuit","",""
"","1482","testing1","","Fri Sep 26 11:55:50 BRT 2025","passed","Fri Sep 26 11:55:51 BRT 2025","","TesteSuit","TesteSuit","testing1"
"","829","testing2","","Fri Sep 26 11:55:51 BRT 2025","passed","Fri Sep 26 11:55:52 BRT 2025","","TesteSuit","TesteSuit","testing2"
"","730","testing4","","Fri Sep 26 11:55:53 BRT 2025","passed","Fri Sep 26 11:55:54 BRT 2025","","TesteSuit","TesteSuit","testing4"
"","723","testing18","","Fri Sep 26 11:55:56 BRT 2025","passed","Fri Sep 26 11:55:57 BRT 2025","","TesteSuit","TesteSuit","testing18"
"","703","testing3","","Fri Sep 26 11:55:52 BRT 2025","passed","Fri Sep 26 11:55:53 BRT 2025","","TesteSuit","",""
"","720","testing5","","Fri Sep 26 11:55:54 BRT 2025","passed","Fri Sep 26 11:55:55 BRT 2025","","TesteSuit","",""
"","699","testing6","","Fri Sep 26 11:55:55 BRT 2025","passed","Fri Sep 26 11:55:55 BRT 2025","","TesteSuit","",""
"","851","testing299","","Fri Sep 26 11:55:57 BRT 2025","passed","Fri Sep 26 11:55:58 BRT 2025","","TesteSuit","",""
"","806","testing2","","Fri Sep 26 11:55:51 BRT 2025","passed","Fri Sep 26 11:55:52 BRT 2025","","TesteSuit","",""
"","722","testing6","","Fri Sep 26 11:55:55 BRT 2025","passed","Fri Sep 26 11:55:55 BRT 2025","","TesteSuit","TesteSuit","testing6"
"","699","testing7","","Fri Sep 26 11:55:55 BRT 2025","passed","Fri Sep 26 11:55:56 BRT 2025","","TesteSuit","",""
"","1457","testing1","","Fri Sep 26 11:55:50 BRT 2025","passed","Fri Sep 26 11:55:51 BRT 2025","","TesteSuit","",""
"","894","testing299","","Fri Sep 26 11:55:57 BRT 2025","passed","Fri Sep 26 11:55:58 BRT 2025","","TesteSuit","TesteSuit","testing299"
"","724","testing7","","Fri Sep 26 11:55:55 BRT 2025","passed","Fri Sep 26 11:55:56 BRT 2025","","TesteSuit","TesteSuit","testing7"
"","705","testing4","","Fri Sep 26 11:55:53 BRT 2025","passed","Fri Sep 26 11:55:54 BRT 2025","","TesteSuit","",""
"","795","testing3","","Fri Sep 26 11:55:52 BRT 2025","passed","Fri Sep 26 11:55:53 BRT 2025","","TesteSuit","TesteSuit","testing3"
"","744","testing5","","Fri Sep 26 11:55:54 BRT 2025","passed","Fri Sep 26 11:55:55 BRT 2025","","TesteSuit","TesteSuit","testing5"
