"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2127","testing1","","Fri Mar 20 10:21:15 UTC 2026","passed","Fri Mar 20 10:21:17 UTC 2026","","TesteSuite 2","TesteSuite 2","testing1"
"","1710","testing1","","Fri Mar 20 10:21:10 UTC 2026","passed","Fri Mar 20 10:21:12 UTC 2026","","TesteSuite","TesteSuite","testing1"
"","824","testing3","","Fri Mar 20 10:21:17 UTC 2026","passed","Fri Mar 20 10:21:18 UTC 2026","","TesteSuite 2","TesteSuite 2","testing3"
"","769","testing2","","Fri Mar 20 10:21:12 UTC 2026","passed","Fri Mar 20 10:21:13 UTC 2026","","TesteSuite","",""
"","802","testing3","","Fri Mar 20 10:21:13 UTC 2026","passed","Fri Mar 20 10:21:13 UTC 2026","","TesteSuite","TesteSuite","testing3"
"","2103","testing1","","Fri Mar 20 10:21:15 UTC 2026","passed","Fri Mar 20 10:21:17 UTC 2026","","TesteSuite 2","",""
"","787","testing3","","Fri Mar 20 10:21:17 UTC 2026","passed","Fri Mar 20 10:21:18 UTC 2026","","TesteSuite 2","",""
"","791","testing2","","Fri Mar 20 10:21:12 UTC 2026","passed","Fri Mar 20 10:21:13 UTC 2026","","TesteSuite","TesteSuite","testing2"
