"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","797","testing2","","2026-08-21","passed","2026-08-21","","TesteSuite","TesteSuite","testing2"
"","2045","testing1","","2026-08-21","passed","2026-08-21","","TesteSuite 2","TesteSuite 2","testing1"
"","773","testing2","","2026-08-21","passed","2026-08-21","","TesteSuite","",""
"","914","testing3","","2026-08-21","passed","2026-08-21","","TesteSuite","TesteSuite","testing3"
"","1362","testing1","","2026-08-21","passed","2026-08-21","","TesteSuite","TesteSuite","testing1"
"","812","testing3","","2026-08-21","passed","2026-08-21","","TesteSuite 2","TesteSuite 2","testing3"
"","774","testing3","","2026-08-21","passed","2026-08-21","","TesteSuite 2","",""
"","2014","testing1","","2026-08-21","passed","2026-08-21","","TesteSuite 2","",""
