"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","804","testing2","","2026-06-14","passed","2026-06-14","","TesteSuite","TesteSuite","testing2"
"","782","testing2","","2026-06-14","passed","2026-06-14","","TesteSuite","",""
"","827","testing3","","2026-06-14","passed","2026-06-14","","TesteSuite 2","TesteSuite 2","testing3"
"","1564","testing1","","2026-06-14","passed","2026-06-14","","TesteSuite","TesteSuite","testing1"
"","777","testing3","","2026-06-14","passed","2026-06-14","","TesteSuite","TesteSuite","testing3"
"","2158","testing1","","2026-06-14","passed","2026-06-14","","TesteSuite 2","TesteSuite 2","testing1"
"","794","testing3","","2026-06-14","passed","2026-06-14","","TesteSuite 2","",""
"","2111","testing1","","2026-06-14","passed","2026-06-14","","TesteSuite 2","",""
