"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","789","testing2","","2026-06-27","passed","2026-06-27","","TesteSuite","",""
"","876","testing3","","2026-06-27","passed","2026-06-27","","TesteSuite 2","TesteSuite 2","testing3"
"","835","testing3","","2026-06-27","passed","2026-06-27","","TesteSuite 2","",""
"","812","testing2","","2026-06-27","passed","2026-06-27","","TesteSuite","TesteSuite","testing2"
"","832","testing3","","2026-06-27","passed","2026-06-27","","TesteSuite","TesteSuite","testing3"
"","2268","testing1","","2026-06-27","passed","2026-06-27","","TesteSuite 2","TesteSuite 2","testing1"
"","1579","testing1","","2026-06-27","passed","2026-06-27","","TesteSuite","TesteSuite","testing1"
"","2208","testing1","","2026-06-27","passed","2026-06-27","","TesteSuite 2","",""
