"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","759","testing3","","2026-07-09","passed","2026-07-09","","TesteSuite 2","TesteSuite 2","testing3"
"","1934","testing1","","2026-07-09","passed","2026-07-09","","TesteSuite 2","",""
"","1464","testing1","","2026-07-09","passed","2026-07-09","","TesteSuite","TesteSuite","testing1"
"","1954","testing1","","2026-07-09","passed","2026-07-09","","TesteSuite 2","TesteSuite 2","testing1"
"","757","testing2","","2026-07-09","passed","2026-07-09","","TesteSuite","TesteSuite","testing2"
"","724","testing3","","2026-07-09","passed","2026-07-09","","TesteSuite 2","",""
"","758","testing3","","2026-07-09","passed","2026-07-09","","TesteSuite","TesteSuite","testing3"
"","733","testing2","","2026-07-09","passed","2026-07-09","","TesteSuite","",""
