"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2199","testing1","","2026-08-03","passed","2026-08-03","","TesteSuite 2","",""
"","963","testing3","","2026-08-03","passed","2026-08-03","","TesteSuite","TesteSuite","testing3"
"","2223","testing1","","2026-08-03","passed","2026-08-03","","TesteSuite 2","TesteSuite 2","testing1"
"","811","testing3","","2026-08-03","passed","2026-08-03","","TesteSuite 2","TesteSuite 2","testing3"
"","772","testing3","","2026-08-03","passed","2026-08-03","","TesteSuite 2","",""
"","826","testing2","","2026-08-03","passed","2026-08-03","","TesteSuite","TesteSuite","testing2"
"","795","testing2","","2026-08-03","passed","2026-08-03","","TesteSuite","",""
"","1755","testing1","","2026-08-03","passed","2026-08-03","","TesteSuite","TesteSuite","testing1"
