"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2305","testing1","","2026-06-24","passed","2026-06-24","","TesteSuite 2","",""
"","866","testing3","","2026-06-24","passed","2026-06-24","","TesteSuite 2","TesteSuite 2","testing3"
"","2179","testing1","","2026-06-24","passed","2026-06-24","","TesteSuite","TesteSuite","testing1"
"","861","testing2","","2026-06-24","passed","2026-06-24","","TesteSuite","",""
"","2331","testing1","","2026-06-24","passed","2026-06-24","","TesteSuite 2","TesteSuite 2","testing1"
"","827","testing3","","2026-06-24","passed","2026-06-24","","TesteSuite 2","",""
"","782","testing3","","2026-06-24","passed","2026-06-24","","TesteSuite","TesteSuite","testing3"
"","892","testing2","","2026-06-24","passed","2026-06-24","","TesteSuite","TesteSuite","testing2"
