"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2062","testing1","","2026-07-06","passed","2026-07-06","","TesteSuite 2","TesteSuite 2","testing1"
"","777","testing2","","2026-07-06","passed","2026-07-06","","TesteSuite","TesteSuite","testing2"
"","758","testing3","","2026-07-06","passed","2026-07-06","","TesteSuite 2","",""
"","815","testing3","","2026-07-06","passed","2026-07-06","","TesteSuite 2","TesteSuite 2","testing3"
"","1215","testing1","","2026-07-06","passed","2026-07-06","","TesteSuite","TesteSuite","testing1"
"","785","testing3","","2026-07-06","passed","2026-07-06","","TesteSuite","TesteSuite","testing3"
"","2034","testing1","","2026-07-06","passed","2026-07-06","","TesteSuite 2","",""
"","752","testing2","","2026-07-06","passed","2026-07-06","","TesteSuite","",""
