"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","712","testing299","","Fri Sep 26 14:10:16 BRT 2025","passed","Fri Sep 26 14:10:16 BRT 2025","","TesteSuit","",""
"","903","testing2","","Fri Sep 26 14:10:10 BRT 2025","passed","Fri Sep 26 14:10:11 BRT 2025","","TesteSuit","",""
"","732","testing7","","Fri Sep 26 14:10:14 BRT 2025","passed","Fri Sep 26 14:10:15 BRT 2025","","TesteSuit","TesteSuit","testing7"
"","732","testing4","","Fri Sep 26 14:10:12 BRT 2025","passed","Fri Sep 26 14:10:13 BRT 2025","","TesteSuit","TesteSuit","testing4"
"","734","testing5","","Fri Sep 26 14:10:13 BRT 2025","passed","Fri Sep 26 14:10:13 BRT 2025","","TesteSuit","TesteSuit","testing5"
"","724","testing18","","Fri Sep 26 14:10:15 BRT 2025","passed","Fri Sep 26 14:10:16 BRT 2025","","TesteSuit","",""
"","709","testing5","","Fri Sep 26 14:10:13 BRT 2025","passed","Fri Sep 26 14:10:13 BRT 2025","","TesteSuit","",""
"","1485","testing1","","Fri Sep 26 14:10:09 BRT 2025","passed","Fri Sep 26 14:10:10 BRT 2025","","TesteSuit","",""
"","1510","testing1","","Fri Sep 26 14:10:09 BRT 2025","passed","Fri Sep 26 14:10:10 BRT 2025","","TesteSuit","TesteSuit","testing1"
"","741","testing3","","Fri Sep 26 14:10:11 BRT 2025","passed","Fri Sep 26 14:10:12 BRT 2025","","TesteSuit","",""
"","739","testing6","","Fri Sep 26 14:10:13 BRT 2025","passed","Fri Sep 26 14:10:14 BRT 2025","","TesteSuit","TesteSuit","testing6"
"","764","testing3","","Fri Sep 26 14:10:11 BRT 2025","passed","Fri Sep 26 14:10:12 BRT 2025","","TesteSuit","TesteSuit","testing3"
"","708","testing4","","Fri Sep 26 14:10:12 BRT 2025","passed","Fri Sep 26 14:10:13 BRT 2025","","TesteSuit","",""
"","749","testing18","","Fri Sep 26 14:10:15 BRT 2025","passed","Fri Sep 26 14:10:16 BRT 2025","","TesteSuit","TesteSuit","testing18"
"","706","testing7","","Fri Sep 26 14:10:14 BRT 2025","passed","Fri Sep 26 14:10:15 BRT 2025","","TesteSuit","",""
"","714","testing6","","Fri Sep 26 14:10:13 BRT 2025","passed","Fri Sep 26 14:10:14 BRT 2025","","TesteSuit","",""
"","756","testing299","","Fri Sep 26 14:10:16 BRT 2025","passed","Fri Sep 26 14:10:16 BRT 2025","","TesteSuit","TesteSuit","testing299"
"","925","testing2","","Fri Sep 26 14:10:10 BRT 2025","passed","Fri Sep 26 14:10:11 BRT 2025","","TesteSuit","TesteSuit","testing2"
