"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2355","testing1","","Fri Sep 26 16:44:02 BRT 2025","passed","Fri Sep 26 16:44:05 BRT 2025","","TesteSuit","TesteSuit","testing1"
"","726","testing18","","Fri Sep 26 00:58:56 BRT 2025","passed","Fri Sep 26 00:58:57 BRT 2025","","TesteSuit","",""
"","939","testing3","","Fri Sep 26 16:44:06 BRT 2025","passed","Fri Sep 26 16:44:07 BRT 2025","","TesteSuit","",""
"","888","testing4","","Fri Sep 26 16:44:07 BRT 2025","passed","Fri Sep 26 16:44:08 BRT 2025","","TesteSuit","TesteSuit","testing4"
"","938","testing5","","Fri Sep 26 16:44:08 BRT 2025","passed","Fri Sep 26 16:44:09 BRT 2025","","TesteSuit","TesteSuit","testing5"
"","1031","testing2","","Fri Sep 26 16:44:05 BRT 2025","passed","Fri Sep 26 16:44:06 BRT 2025","","TesteSuit","TesteSuit","testing2"
"","703","testing299","","Fri Sep 26 16:50:46 BRT 2025","passed","Fri Sep 26 16:50:47 BRT 2025","","TesteSuit","TesteSuit","testing299"
"","2290","testing1","","Fri Sep 26 16:44:02 BRT 2025","passed","Fri Sep 26 16:44:05 BRT 2025","","TesteSuit","",""
"","786","testing18 ","","Fri Sep 26 16:50:45 BRT 2025","passed","Fri Sep 26 16:50:46 BRT 2025","","TesteSuit","TesteSuit","testing18 "
"","883","testing5","","Fri Sep 26 16:44:08 BRT 2025","passed","Fri Sep 26 16:44:09 BRT 2025","","TesteSuit","",""
"","844","testing4","","Fri Sep 26 16:44:07 BRT 2025","passed","Fri Sep 26 16:44:08 BRT 2025","","TesteSuit","",""
"","824","testing7","","Fri Sep 26 16:44:09 BRT 2025","passed","Fri Sep 26 16:44:10 BRT 2025","","TesteSuit","",""
"","845","testing18 ","","Fri Sep 26 16:44:10 BRT 2025","passed","Fri Sep 26 16:44:11 BRT 2025","","TesteSuit","",""
"","752","testing18","","Fri Sep 26 00:58:56 BRT 2025","passed","Fri Sep 26 00:58:57 BRT 2025","","TesteSuit","TesteSuit","testing18"
"","991","testing3","","Fri Sep 26 16:44:06 BRT 2025","passed","Fri Sep 26 16:44:07 BRT 2025","","TesteSuit","TesteSuit","testing3"
"","830","testing299","","Fri Sep 26 16:44:11 BRT 2025","passed","Fri Sep 26 16:44:12 BRT 2025","","TesteSuit","",""
"","892","testing6","","Fri Sep 26 16:44:09 BRT 2025","passed","Fri Sep 26 16:44:09 BRT 2025","","TesteSuit","TesteSuit","testing6"
"","857","testing399","","Fri Sep 26 16:50:47 BRT 2025","passed","Fri Sep 26 16:50:48 BRT 2025","","TesteSuit","TesteSuit","testing399"
"","839","testing6","","Fri Sep 26 16:44:09 BRT 2025","passed","Fri Sep 26 16:44:09 BRT 2025","","TesteSuit","",""
"","1589","testing7","","Fri Sep 26 16:50:44 BRT 2025","passed","Fri Sep 26 16:50:45 BRT 2025","","TesteSuit","TesteSuit","testing7"
"","993","testing2","","Fri Sep 26 16:44:05 BRT 2025","passed","Fri Sep 26 16:44:06 BRT 2025","","TesteSuit","",""
