"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","704","testing6","","Fri Sep 26 16:08:54 BRT 2025","passed","Fri Sep 26 16:08:55 BRT 2025","","TesteSuit","",""
"","700","testing5","","Fri Sep 26 16:08:53 BRT 2025","passed","Fri Sep 26 16:08:54 BRT 2025","","TesteSuit","",""
"","706","testing4","","Fri Sep 26 16:08:53 BRT 2025","passed","Fri Sep 26 16:08:53 BRT 2025","","TesteSuit","",""
"","1599","testing1","","Fri Sep 26 16:08:49 BRT 2025","passed","Fri Sep 26 16:08:51 BRT 2025","","TesteSuit","TesteSuit","testing1"
"","729","testing18 ","","Fri Sep 26 16:08:55 BRT 2025","passed","Fri Sep 26 16:08:56 BRT 2025","","TesteSuit","TesteSuit","testing18 "
"","701","testing7","","Fri Sep 26 16:08:55 BRT 2025","passed","Fri Sep 26 16:08:55 BRT 2025","","TesteSuit","",""
"","738","testing299","","Fri Sep 26 16:08:56 BRT 2025","passed","Fri Sep 26 16:08:57 BRT 2025","","TesteSuit","TesteSuit","testing299"
"","730","testing6","","Fri Sep 26 16:08:54 BRT 2025","passed","Fri Sep 26 16:08:55 BRT 2025","","TesteSuit","TesteSuit","testing6"
"","727","testing3","","Fri Sep 26 16:08:52 BRT 2025","passed","Fri Sep 26 16:08:53 BRT 2025","","TesteSuit","TesteSuit","testing3"
"","726","testing5","","Fri Sep 26 16:08:53 BRT 2025","passed","Fri Sep 26 16:08:54 BRT 2025","","TesteSuit","TesteSuit","testing5"
"","1574","testing1","","Fri Sep 26 16:08:49 BRT 2025","passed","Fri Sep 26 16:08:51 BRT 2025","","TesteSuit","",""
"","692","testing299","","Fri Sep 26 16:08:56 BRT 2025","passed","Fri Sep 26 16:08:57 BRT 2025","","TesteSuit","",""
"","703","testing18 ","","Fri Sep 26 16:08:55 BRT 2025","passed","Fri Sep 26 16:08:56 BRT 2025","","TesteSuit","",""
"","885","testing2","","Fri Sep 26 16:08:51 BRT 2025","passed","Fri Sep 26 16:08:52 BRT 2025","","TesteSuit","",""
"","726","testing7","","Fri Sep 26 16:08:55 BRT 2025","passed","Fri Sep 26 16:08:55 BRT 2025","","TesteSuit","TesteSuit","testing7"
"","907","testing2","","Fri Sep 26 16:08:51 BRT 2025","passed","Fri Sep 26 16:08:52 BRT 2025","","TesteSuit","TesteSuit","testing2"
"","704","testing3","","Fri Sep 26 16:08:52 BRT 2025","passed","Fri Sep 26 16:08:53 BRT 2025","","TesteSuit","",""
"","731","testing4","","Fri Sep 26 16:08:53 BRT 2025","passed","Fri Sep 26 16:08:53 BRT 2025","","TesteSuit","TesteSuit","testing4"
"","752","testing18","","Fri Sep 26 00:58:56 BRT 2025","passed","Fri Sep 26 00:58:57 BRT 2025","","TesteSuit","TesteSuit","testing18"
"","726","testing18","","Fri Sep 26 00:58:56 BRT 2025","passed","Fri Sep 26 00:58:57 BRT 2025","","TesteSuit","",""
