"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","726","testing3","","2026-09-17","passed","2026-09-17","","TesteSuite 2","",""
"","1913","testing1","","2026-09-17","passed","2026-09-17","","TesteSuite 2","TesteSuite 2","testing1"
"","759","testing2","","2026-09-17","passed","2026-09-17","","TesteSuite","TesteSuite","testing2"
"","1309","testing1","","2026-09-17","passed","2026-09-17","","TesteSuite","TesteSuite","testing1"
"","1894","testing1","","2026-09-17","passed","2026-09-17","","TesteSuite 2","",""
"","738","testing2","","2026-09-17","passed","2026-09-17","","TesteSuite","",""
"","760","testing3","","2026-09-17","passed","2026-09-17","","TesteSuite 2","TesteSuite 2","testing3"
"","745","testing3","","2026-09-17","passed","2026-09-17","","TesteSuite","TesteSuite","testing3"
