"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","759","testing3","","2026-08-04","passed","2026-08-04","","TesteSuite 2","",""
"","849","testing2","","2026-08-04","passed","2026-08-04","","TesteSuite","",""
"","755","testing3","","2026-08-04","passed","2026-08-04","","TesteSuite","TesteSuite","testing3"
"","1282","testing1","","2026-08-04","passed","2026-08-04","","TesteSuite","TesteSuite","testing1"
"","794","testing3","","2026-08-04","passed","2026-08-04","","TesteSuite 2","TesteSuite 2","testing3"
"","1916","testing1","","2026-08-04","passed","2026-08-04","","TesteSuite 2","",""
"","1944","testing1","","2026-08-04","passed","2026-08-04","","TesteSuite 2","TesteSuite 2","testing1"
"","870","testing2","","2026-08-04","passed","2026-08-04","","TesteSuite","TesteSuite","testing2"
