"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","775","testing3","","2026-08-18","passed","2026-08-18","","TesteSuite 2","",""
"","1999","testing1","","2026-08-18","passed","2026-08-18","","TesteSuite 2","",""
"","852","testing2","","2026-08-18","passed","2026-08-18","","TesteSuite","TesteSuite","testing2"
"","776","testing3","","2026-08-18","passed","2026-08-18","","TesteSuite","TesteSuite","testing3"
"","830","testing2","","2026-08-18","passed","2026-08-18","","TesteSuite","",""
"","1433","testing1","","2026-08-18","passed","2026-08-18","","TesteSuite","TesteSuite","testing1"
"","2052","testing1","","2026-08-18","passed","2026-08-18","","TesteSuite 2","TesteSuite 2","testing1"
"","810","testing3","","2026-08-18","passed","2026-08-18","","TesteSuite 2","TesteSuite 2","testing3"
